"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация по методу /v2/login с валидным паролем возвращает ответ 200","986","Успешная авторизация для новых приставок","tests","2026-04-15","passed","2026-04-15","TestLoginAPI","test_login","",""
"Авторизация по методу /v2/login с невалидным паролем возвращает ответ 403","796","Неуспешная авторизация для новых приставок","tests","2026-04-15","passed","2026-04-15","TestLoginAPI","test_login","",""
"Авторизация по методу /login с невалидным паролем возвращает ответ 403","1030","Неуспешная авторизация для старых приставок","tests","2026-04-15","passed","2026-04-15","TestLoginAPI","test_login","",""
"Авторизация по методу /login с валидным паролем возвращает ответ 200","1038","Успешная авторизация для старых приставок","tests","2026-04-15","passed","2026-04-15","TestLoginAPI","test_login","",""
